Idiopathic generalized epilepsy	idiopathic generalized epilepsy,,generalized idiopathic epilepsy, not intractable,,refractory idiopathic generalized epilepsy,,idiopathic generalized epilepsy in childhood,,epilepsy, idiopathic generalized, susceptibility to, 3,,epilepsy, idiopathic generalized, susceptibility to, 2,,epilepsy, idiopathic generalized, susceptibility to, 4 (finding),,epilepsy, idiopathic generalized, susceptibility to, 6,,epilepsy, idiopathic generalized, susceptibility to, 5 (finding),,epilepsy, idiopathic generalized, susceptibility to, 1,,epilepsy, idiopathic generalized, susceptibility to, 9,,epilepsy, idiopathic generalized, susceptibility to, 11,,epilepsy, idiopathic generalized, susceptibility to, 10,,epilepsy, idiopathic generalized, susceptibility to, 7,,epilepsy, idiopathic generalized, susceptibility to, 8,,idiopathic generalized epilepsy, non-refractory,,epilepsy, idiopathic generalized, susceptibility to, 12,,epilepsy, idiopathic generalized, susceptibility to, 13,,epilepsy, idiopathic generalized, susceptibility to, 14,,epilepsy, idiopathic generalized, susceptibility to, 15,,epilepsy, idiopathic generalized, susceptibility to, 16,,photoparoxysmal response 2,,epilepsy, idiopathic generalized, susceptibility to, locus on chromosome 8,,generalized idiopathic epilepsy, not intractable, with status epilepticus,,generalized idiopathic epilepsy and epileptic syndromes without intractability
ivd panels, human genetics, metabolic disorder, peroxisomal disorder, zellweger spectrum, zellweger syndrome	Zellweger syndrome
zellweger syndrome, complementation group d, arg176ter	Zellweger syndrome
zellweger syndrome spectrum (zss) gene mutation reagents	Zellweger syndrome
zellweger syndrome (zs) gene mutation reagents	Zellweger syndrome
zellweger syndrome, complementation group d, mild, tyr331cys	Zellweger syndrome
ivd panels, human genetics, metabolic disorder, peroxisomal disorder, zellweger spectrum, zellweger syndrome, mutation	Zellweger syndrome
ivd panels, human genetics, metabolic disorder, peroxisomal disorder, zellweger spectrum, zellweger syndrome, del/dup	Zellweger syndrome
zellweger-like syndrome without peroxisomal anomaly	Zellweger syndrome
contiguous abcd1 dxs1357e deletion syndrome	Zellweger syndrome
peroxisome biogenesis disorders	Zellweger syndrome,,peroxisome biogenesis disorder
zellweger syndrome, complementation group d, mild, 1-bp del, 984g	Zellweger syndrome
zellweger syndrome, complementation group d, mild, del, ex11	Zellweger syndrome
pex2 protein, human	Zellweger syndrome
zellweger syndrome, complementation group d, ivs10, t-c, +2 (allelic variant)	Zellweger syndrome
peroxisome biogenesis disorder	peroxisome biogenesis disorders,,infantile refsum disease (disorder),,rhizomelic chondrodysplasia punctata, type 1,,refsum disease, adult, 2,,peroxisome biogenesis disorder 5b,,peroxisome biogenesis disorder 2b,,peroxisome biogenesis disorder 2a (zellweger),,peroxisome biogenesis disorder 3b,,peroxisome biogenesis disorder 3a (zellweger),,peroxisome biogenesis disorder 4a (zellweger),,peroxisome biogenesis disorder 4b,,peroxisome biogenesis disorder 5a (zellweger),,peroxisome biogenesis disorder 6a (zellweger),,peroxisome biogenesis disorder 6b,,peroxisome biogenesis disorder 7b,,peroxisome biogenesis disorder 8a (zellweger),,peroxisome biogenesis disorder 8b,,peroxisome biogenesis disorder 11b,,peroxisome biogenesis disorder 14b,,peroxisome biogenesis disorder 7a (zellweger),,heimler syndrome 2,,peroxisome biogenesis disorder 10b,,heimler syndrome 1,,peroxisome biogenesis disorder 1a (zellweger),,peroxisome biogenesis disorder 1b
infantile refsum disease (disorder)	peroxisome biogenesis disorder
rhizomelic chondrodysplasia punctata, type 1	peroxisome biogenesis disorder
refsum disease, adult, 2	peroxisome biogenesis disorder
peroxisome biogenesis disorder 5b	peroxisome biogenesis disorder
peroxisome biogenesis disorder 2b	peroxisome biogenesis disorder
peroxisome biogenesis disorder 2a (zellweger)	peroxisome biogenesis disorder
peroxisome biogenesis disorder 3b	peroxisome biogenesis disorder
peroxisome biogenesis disorder 3a (zellweger)	peroxisome biogenesis disorder
peroxisome biogenesis disorder 4a (zellweger)	peroxisome biogenesis disorder
peroxisome biogenesis disorder 4b	peroxisome biogenesis disorder
peroxisome biogenesis disorder 5a (zellweger)	peroxisome biogenesis disorder
peroxisome biogenesis disorder 6b	peroxisome biogenesis disorder,,Peroxisome biogenesis disorder 6B
peroxisome biogenesis disorder 7b	peroxisome biogenesis disorder
peroxisome biogenesis disorder 8a (zellweger)	peroxisome biogenesis disorder
peroxisome biogenesis disorder 8b	peroxisome biogenesis disorder
peroxisome biogenesis disorder 11b	peroxisome biogenesis disorder
peroxisome biogenesis disorder 14b	peroxisome biogenesis disorder
peroxisome biogenesis disorder 7a (zellweger)	peroxisome biogenesis disorder
heimler syndrome 2	peroxisome biogenesis disorder
peroxisome biogenesis disorder 10b	peroxisome biogenesis disorder
heimler syndrome 1	peroxisome biogenesis disorder
peroxisome biogenesis disorder 1b	peroxisome biogenesis disorder
Peroxisome biogenesis disorder 6B	peroxisome biogenesis disorder 6b
Left ventricular noncompaction 8	left ventricular noncompaction 8
left ventricular noncompaction 8	Left ventricular noncompaction 8
dilated cardiomyopathy	cardiomyopathy, dilated,,dilated cardiomyopathy pathway,,cardiomyopathy, alcoholic,,muscular dystrophy, duchenne,,secondary dilated cardiomyopathy,,dilated cardiomyopathy secondary to infection,,dilated cardiomyopathy secondary to mucopolysaccharidosis,,dilated cardiomyopathy secondary to deficiency,,dilated cardiomyopathy due to systemic sclerosis,,dilated cardiomyopathy secondary to dermatomyositis,,dilated cardiomyopathy secondary to infiltration,,dilated cardiomyopathy secondary to amyloidosis,,dilated cardiomyopathy secondary to sarcoidosis,,dilated cardiomyopathy secondary to malignancy,,dilated cardiomyopathy secondary to hemochromatosis,,dilated cardiomyopathy secondary to granuloma,,dilated cardiomyopathy secondary to sensitivity,,dilated cardiomyopathy secondary to radiation,,familial dilated cardiomyopathy,,dilated cardiomyopathy secondary to drug,,autosomal dominant emery-dreifuss muscular dystrophy (disorder),,feline dilated cardiomyopathy,,canine dilated cardiomyopathy,,cardiomyopathy dilated chronic,,cardiomyopathy dilated end stage
cardiomyopathy, dilated	dilated cardiomyopathy,,Cardiomyopathy
dilated cardiomyopathy pathway	dilated cardiomyopathy
cardiomyopathy, alcoholic	dilated cardiomyopathy,,Cardiomyopathy
muscular dystrophy, duchenne	dilated cardiomyopathy
secondary dilated cardiomyopathy	dilated cardiomyopathy
dilated cardiomyopathy secondary to infection	dilated cardiomyopathy
dilated cardiomyopathy secondary to mucopolysaccharidosis	dilated cardiomyopathy
dilated cardiomyopathy secondary to deficiency	dilated cardiomyopathy
dilated cardiomyopathy due to systemic sclerosis	dilated cardiomyopathy
dilated cardiomyopathy secondary to dermatomyositis	dilated cardiomyopathy
dilated cardiomyopathy secondary to infiltration	dilated cardiomyopathy
dilated cardiomyopathy secondary to amyloidosis	dilated cardiomyopathy
dilated cardiomyopathy secondary to sarcoidosis	dilated cardiomyopathy
dilated cardiomyopathy secondary to malignancy	dilated cardiomyopathy
dilated cardiomyopathy secondary to hemochromatosis	dilated cardiomyopathy
dilated cardiomyopathy secondary to granuloma	dilated cardiomyopathy
dilated cardiomyopathy secondary to sensitivity	dilated cardiomyopathy
dilated cardiomyopathy secondary to radiation	dilated cardiomyopathy
familial dilated cardiomyopathy	dilated cardiomyopathy
dilated cardiomyopathy secondary to drug	dilated cardiomyopathy
autosomal dominant emery-dreifuss muscular dystrophy (disorder)	dilated cardiomyopathy
feline dilated cardiomyopathy	dilated cardiomyopathy
canine dilated cardiomyopathy	dilated cardiomyopathy
cardiomyopathy dilated chronic	dilated cardiomyopathy
cardiomyopathy dilated end stage	dilated cardiomyopathy
Nephronophthisis	nephronophthisis,,nphp4 gene,,nephronophthisis 4,,nephronophthisis, familial juvenile,,nephronophthisis 3,,nephronophthisis 2,,nephronophthisis 7,,nephronophthisis 11,,nephronophthisis 12,,nephronophthisis 9,,nephronophthisis 13,,nephronophthisis 14,,nephronophthisis 15,,nephronophthisis 16,,nephronophthisis 18,,nephronophthisis 19,,nephronophthisis 20,,nephronophthisis 1,,renal dysplasia and retinal aplasia (disorder),,nephronophthisis - medullary cystic disease,,invs protein, human,,nphp4 protein, human,,nphp1 gene,,nphp3 gene,,invs gene
nephronophthisis	Nephronophthisis
nphp4 gene	Nephronophthisis,,Nephronophthisis 4
nephronophthisis 4	Nephronophthisis,,Nephronophthisis 4
nephronophthisis, familial juvenile	Nephronophthisis
nephronophthisis 3	Nephronophthisis
nephronophthisis 2	Nephronophthisis
nephronophthisis 7	Nephronophthisis
nephronophthisis 11	Nephronophthisis
nephronophthisis 12	Nephronophthisis
nephronophthisis 9	Nephronophthisis
nephronophthisis 13	Nephronophthisis
nephronophthisis 14	Nephronophthisis
nephronophthisis 15	Nephronophthisis
nephronophthisis 16	Nephronophthisis
nephronophthisis 18	Nephronophthisis
nephronophthisis 19	Nephronophthisis
nephronophthisis 20	Nephronophthisis
nephronophthisis 1	Nephronophthisis
renal dysplasia and retinal aplasia (disorder)	Nephronophthisis,,Renal dysplasia and retinal aplasia
nephronophthisis - medullary cystic disease	Nephronophthisis
invs protein, human	Nephronophthisis
nphp4 protein, human	Nephronophthisis,,Nephronophthisis 4
nphp1 gene	Nephronophthisis
nphp3 gene	Nephronophthisis
invs gene	Nephronophthisis
Senior-Loken syndrome 4	senior-loken syndrome 4
senior-loken syndrome 4	Senior-Loken syndrome 4
Renal dysplasia and retinal aplasia	renal dysplasia and retinal aplasia (disorder)
Nephronophthisis 4	nphp4 gene,,nephronophthisis 4,,nphp4 protein, human,,nephronophthisis type 4
nephronophthisis type 4	Nephronophthisis 4
nonsyndromic genetic deafness	no results
none provided	none of the above were provided,,skin and ulcer treatments - none of above provided in last 7d:find:7d:^patient:ord:mdsv3,,skin and ulcer treatments - none of above provided in last 7d
none of the above were provided	none provided
skin and ulcer treatments - none of above provided in last 7d:find:7d:^patient:ord:mdsv3	none provided
skin and ulcer treatments - none of above provided in last 7d	none provided
Distal spinal muscular atrophy	distal spinal muscular atrophy,,neuronopathy, distal hereditary motor, type v,,neuropathy, distal hereditary motor, type viia,,spinal muscular atrophy, distal, congenital nonprogressive (disorder),,spinal muscular atrophy, distal, x-linked 3,,spinal muscular atrophy, distal, autosomal recessive, 3,,spinal muscular atrophy, jerash type,,spinal muscular atrophy with respiratory distress 1,,spinal muscular atrophy, distal, autosomal recessive, 4,,neuronopathy, distal hereditary motor, type vb,,spinal muscular atrophy, distal, autosomal recessive, 5,,distal spinal muscular atrophy, autosomal recessive, 1,,autosomal recessive distal spinal muscular atrophy type 3,,distal hereditary motor neuropathy type 7,,autosomal recessive lower motor neuron disease with childhood onset,,neuronopathy, distal hereditary motor, type va,,neuronopathy, distal hereditary motor, type vc,,neuronopathy, distal hereditary motor, type iia,,neuronopathy, distal hereditary motor, type i,,neuronopathy, distal hereditary motor, type iid,,x-linked distal spinal muscular atrophy type 3,,distal spinal muscular atrophy va (dsmava) gene anomaly detection reagents,,distal hereditary motor neuropathy type 1,,young adult-onset distal hereditary motor neuropathy,,distal spinal muscular atrophy type vb gene anomaly detection reagents
distal spinal muscular atrophy	Distal spinal muscular atrophy
neuronopathy, distal hereditary motor, type v	Distal spinal muscular atrophy
neuropathy, distal hereditary motor, type viia	Distal spinal muscular atrophy
spinal muscular atrophy, distal, congenital nonprogressive (disorder)	Distal spinal muscular atrophy
spinal muscular atrophy, distal, x-linked 3	Distal spinal muscular atrophy
spinal muscular atrophy, distal, autosomal recessive, 3	Distal spinal muscular atrophy
spinal muscular atrophy, jerash type	Distal spinal muscular atrophy
spinal muscular atrophy with respiratory distress 1	Distal spinal muscular atrophy
spinal muscular atrophy, distal, autosomal recessive, 4	Distal spinal muscular atrophy,,Distal spinal muscular atrophy, autosomal recessive 4
neuronopathy, distal hereditary motor, type vb	Distal spinal muscular atrophy
spinal muscular atrophy, distal, autosomal recessive, 5	Distal spinal muscular atrophy
distal spinal muscular atrophy, autosomal recessive, 1	Distal spinal muscular atrophy
autosomal recessive distal spinal muscular atrophy type 3	Distal spinal muscular atrophy
distal hereditary motor neuropathy type 7	Distal spinal muscular atrophy
autosomal recessive lower motor neuron disease with childhood onset	Distal spinal muscular atrophy,,Distal spinal muscular atrophy, autosomal recessive 4
neuronopathy, distal hereditary motor, type va	Distal spinal muscular atrophy
neuronopathy, distal hereditary motor, type vc	Distal spinal muscular atrophy
neuronopathy, distal hereditary motor, type iia	Distal spinal muscular atrophy,,Charcot-Marie-Tooth disease
neuronopathy, distal hereditary motor, type i	Distal spinal muscular atrophy
neuronopathy, distal hereditary motor, type iid	Distal spinal muscular atrophy
x-linked distal spinal muscular atrophy type 3	Distal spinal muscular atrophy
distal spinal muscular atrophy va (dsmava) gene anomaly detection reagents	Distal spinal muscular atrophy
distal hereditary motor neuropathy type 1	Distal spinal muscular atrophy
young adult-onset distal hereditary motor neuropathy	Distal spinal muscular atrophy
distal spinal muscular atrophy type vb gene anomaly detection reagents	Distal spinal muscular atrophy
Distal spinal muscular atrophy, autosomal recessive 4	spinal muscular atrophy, distal, autosomal recessive, 4,,autosomal recessive lower motor neuron disease with childhood onset
Charcot-Marie-Tooth disease, recessive intermediate c	charcot-marie-tooth disease, recessive intermediate c,,autosomal recessive intermediate charcot-marie-tooth disease type c
charcot-marie-tooth disease, recessive intermediate c	Charcot-Marie-Tooth disease, recessive intermediate c,,Charcot-Marie-Tooth, Intermediate
autosomal recessive intermediate charcot-marie-tooth disease type c	Charcot-Marie-Tooth disease, recessive intermediate c,,Charcot-Marie-Tooth, Intermediate
 Recessive	genes, recessive,,tumor suppressor genes,,cystinuria type 1,,recessive types,,autosomal recessive inheritance,,recessive inheritance,,recessive allele,,digenic recessive,,pseudoachondroplastic dysplasia 2,,lipodystrophy (recessive),,micrognathia (recessive),,retrognathia (recessive),,strabismus (recessive),,synophrys (recessive),,pseudoautosomal recessive,,adult neuronal ceroid lipofuscinosis,,osteoarthropathy, primary hypertrophic,,conditions, recessive genetic,,hallopeau-siemens disease,,ichthyosis, x-linked,,autosomal recessive polycystic kidney disease,,autosomal recessive trait,,cartilage-hair hypoplasia,,autosomal recessive scid,,jarcho-levin syndrome
genes, recessive	 Recessive
tumor suppressor genes	 Recessive
cystinuria type 1	 Recessive
recessive types	 Recessive
autosomal recessive inheritance	 Recessive,, autosomal recessive
recessive inheritance	 Recessive
recessive allele	 Recessive
digenic recessive	 Recessive
pseudoachondroplastic dysplasia 2	 Recessive
lipodystrophy (recessive)	 Recessive
micrognathia (recessive)	 Recessive
retrognathia (recessive)	 Recessive
strabismus (recessive)	 Recessive
synophrys (recessive)	 Recessive
pseudoautosomal recessive	 Recessive
adult neuronal ceroid lipofuscinosis	 Recessive,, autosomal recessive
osteoarthropathy, primary hypertrophic	 Recessive,, autosomal recessive
conditions, recessive genetic	 Recessive
hallopeau-siemens disease	 Recessive
ichthyosis, x-linked	 Recessive
autosomal recessive polycystic kidney disease	 Recessive,, autosomal recessive
autosomal recessive trait	 Recessive,, autosomal recessive
cartilage-hair hypoplasia	 Recessive
autosomal recessive scid	 Recessive,, autosomal recessive
jarcho-levin syndrome	 Recessive,, autosomal recessive
Parkinson Disease, Recessive	pink1 gene,,parkinson disease 15, autosomal recessive (disorder),,parkinson disease 2, autosomal recessive juvenile,,parkinson disease 14, autosomal recessive,,prkn gene,,gigyf2 gene,,park7 gene,,kufor-rakeb syndrome,,parkinson disease 7, autosomal recessive early-onset,,parkinson disease 6, autosomal recessive early-onset,,parkinson disease, park6,,parkinson disease, park7,,parkinson disease, park15,,parkinson disease, park19,,parkinson disease, autosomal recessive juvenile-onset,,parkinson disease, autosomal recessive adult-onset,,parkinson disease, park20,,parkinson disease 23, autosomal recessive early-onset,,park7 protein, human,,park2 protein, human,,atp13a2 gene,,prkn wt allele,,park7 wt allele
pink1 gene	Parkinson Disease, Recessive
parkinson disease 15, autosomal recessive (disorder)	Parkinson Disease, Recessive
parkinson disease 2, autosomal recessive juvenile	Parkinson Disease, Recessive
parkinson disease 14, autosomal recessive	Parkinson Disease, Recessive
prkn gene	Parkinson Disease, Recessive
gigyf2 gene	Parkinson Disease, Recessive
park7 gene	Parkinson Disease, Recessive,,Parkinson disease 7
kufor-rakeb syndrome	Parkinson Disease, Recessive,,Parkinson disease 9,,Kufor-Rakeb syndrome
parkinson disease 7, autosomal recessive early-onset	Parkinson Disease, Recessive,,Parkinson disease 7
parkinson disease 6, autosomal recessive early-onset	Parkinson Disease, Recessive,,Parkinson disease 6, autosomal recessive early-onset
parkinson disease, park6	Parkinson Disease, Recessive
parkinson disease, park7	Parkinson Disease, Recessive
parkinson disease, park15	Parkinson Disease, Recessive
parkinson disease, park19	Parkinson Disease, Recessive
parkinson disease, autosomal recessive juvenile-onset	Parkinson Disease, Recessive
parkinson disease, autosomal recessive adult-onset	Parkinson Disease, Recessive
parkinson disease, park20	Parkinson Disease, Recessive
parkinson disease 23, autosomal recessive early-onset	Parkinson Disease, Recessive
park7 protein, human	Parkinson Disease, Recessive,,Parkinson disease 7
park2 protein, human	Parkinson Disease, Recessive
atp13a2 gene	Parkinson Disease, Recessive,,Parkinson disease 9,,Kufor-Rakeb syndrome
prkn wt allele	Parkinson Disease, Recessive
park7 wt allele	Parkinson Disease, Recessive,,Parkinson disease 7
Parkinson disease 7	park7 protein, human,,park7 gene,,gatd1 gene,,parkinson disease 7, autosomal recessive early-onset,,park7 wt allele
gatd1 gene	Parkinson disease 7
Cortisone reductase deficiency 1	cortisone reductase deficiency 1,,hexose-6-phosphate dehydrogenase deficiency
cortisone reductase deficiency 1	Cortisone reductase deficiency 1
hexose-6-phosphate dehydrogenase deficiency	Cortisone reductase deficiency 1
Immunodeficiency 14	activated pi3k-delta syndrome,,immunodeficiency, common variable, 14
activated pi3k-delta syndrome	Immunodeficiency 14
immunodeficiency, common variable, 14	Immunodeficiency 14
Retinal dystrophy	retinal dystrophies,,hereditary retinal dystrophy,,retinal dystrophy in systemic lipidosis,,retinal dystrophy in cerebroretinal lipidosis,,bull\'s eye macular dystrophy,,hyaline retinal dystrophy,,progressive cone-rod dystrophy,,progressive rod dystrophy,,north carolina macular dystrophy,,rod dystrophy,,prom1 gene,,doyne honeycomb retinal dystrophy,,retinal cone dystrophy 3b,,bothnia retinal dystrophy,,retinal dystrophy, congenital, nonprogressive,,retinal cone dystrophy 4,,retinal cone dystrophy 3a,,cone dystrophy 3 (disorder),,retinal cone dystrophy 2,,retinal cone dystrophy 1,,hereditary drusen retinal dystrophy,,vitelliform retinal dystrophy,,retinal dystrophy (variable),,cone-rod dystrophy 2,,retinal pigment epithelium dystrophy
retinal dystrophies	Retinal dystrophy
hereditary retinal dystrophy	Retinal dystrophy
retinal dystrophy in systemic lipidosis	Retinal dystrophy
retinal dystrophy in cerebroretinal lipidosis	Retinal dystrophy
bull\'s eye macular dystrophy	Retinal dystrophy,,Macular dystrophy
hyaline retinal dystrophy	Retinal dystrophy
progressive cone-rod dystrophy	Retinal dystrophy,,Cone/cone-rod dystrophy,,Cone dystrophy
progressive rod dystrophy	Retinal dystrophy
north carolina macular dystrophy	Retinal dystrophy,,Macular dystrophy
rod dystrophy	Retinal dystrophy
prom1 gene	Retinal dystrophy,,Macular dystrophy,,Stargardt disease
doyne honeycomb retinal dystrophy	Retinal dystrophy
retinal cone dystrophy 3b	Retinal dystrophy,,Cone dystrophy
bothnia retinal dystrophy	Retinal dystrophy
retinal dystrophy, congenital, nonprogressive	Retinal dystrophy
retinal cone dystrophy 4	Retinal dystrophy,,Cone dystrophy
retinal cone dystrophy 3a	Retinal dystrophy,,Cone dystrophy
cone dystrophy 3 (disorder)	Retinal dystrophy,,Cone/cone-rod dystrophy,,Cone dystrophy
retinal cone dystrophy 2	Retinal dystrophy,,Cone/cone-rod dystrophy,,Cone dystrophy
retinal cone dystrophy 1	Retinal dystrophy
hereditary drusen retinal dystrophy	Retinal dystrophy
vitelliform retinal dystrophy	Retinal dystrophy
retinal dystrophy (variable)	Retinal dystrophy
cone-rod dystrophy 2	Retinal dystrophy,,Cone/cone-rod dystrophy
retinal pigment epithelium dystrophy	Retinal dystrophy
Leber congenital amaurosis 9	nmnat1 gene,,leber congenital amaurosis 9 (disorder)
nmnat1 gene	Leber congenital amaurosis 9,,Leber congenital amaurosis
leber congenital amaurosis 9 (disorder)	Leber congenital amaurosis 9,,Leber congenital amaurosis
