Gene,Disease,MOI,"Expert Panel",SOP,Classification,"Last Eval."
AKAP9,"long QT syndrome",AD,"Long QT Syndrome",SOP8,Disputed,12/15/2020
ALDH4A1,"hyperprolinemia type 2",AR,Aminoacidopathy,SOP7,Definitive,10/23/2020
ALDH6A1,"methylmalonate semialdehyde dehydrogenase deficiency",AR,Aminoacidopathy,SOP6,Limited,09/27/2019
ALDH7A1,"pyridoxine-dependent epilepsy",AR,Aminoacidopathy,SOP6,Definitive,07/26/2019
ALG13,"undetermined early-onset epileptic encephalopathy",XL,Epilepsy,SOP5,Definitive,04/26/2018
ALG8,"polycystic liver disease 3 with or without kidney cysts",AD,"Kidney Cystic and Ciliopathy Disorders",SOP7,Limited,07/29/2020
ALG9,"cystic kidney disease",AD,"Kidney Cystic and Ciliopathy Disorders",SOP7,Moderate,08/28/2020
ALK,"neuroblastoma, susceptibility to, 3",AD,"Hereditary Cancer",SOP6,Definitive,11/21/2019
ALMS1,"Alstrom syndrome",AR,"Hearing Loss",SOP4,Definitive,02/10/2017
ALPK3,"hypertrophic cardiomyopathy",AR,"Hypertrophic Cardiomyopathy",SOP4,Strong,02/07/2017
AMT,"glycine encephalopathy",AR,Aminoacidopathy,SOP6,Definitive,05/24/2019
ANK1,"hereditary spherocytosis",AD,"General Gene Curation",SOP8,Definitive,03/24/2021
ANK2,"Brugada syndrome",AD,"Brugada Syndrome",SOP5,Disputed,11/21/2017
ANK2,"complex neurodevelopmental disorder",AD,"Intellectual Disability and Autism",SOP7,Definitive,12/15/2020
ANKRD1,"dilated cardiomyopathy",AD,"Dilated Cardiomyopathy",SOP7,Limited,08/12/2020
ANKRD1,"hypertrophic cardiomyopathy",AD,"Hypertrophic Cardiomyopathy",SOP7,Limited,05/01/2020
ANKRD11,"KBG syndrome",AD,"Intellectual Disability and Autism",SOP6,Definitive,11/26/2019
ANKRD26,"thrombocytopenia 2",AD,"Hemostasis Thrombosis",SOP6,Definitive,09/25/2019
ANO5,"autosomal recessive limb-girdle muscular dystrophy",AR,"Limb Girdle Muscular Dystrophy",SOP7,Definitive,09/09/2020
ANO6,"Scott syndrome",AR,"Hemostasis Thrombosis",SOP7,Moderate,05/27/2020
AP1S2,"non-syndromic X-linked intellectual disability",XL,"Intellectual Disability and Autism",SOP5,Definitive,10/20/2017
AP3B1,"Hermansky-Pudlak syndrome 2",AR,"Hemostasis Thrombosis",SOP6,Definitive,02/26/2020
AP3D1,"Hermansky-Pudlak syndrome 10",AR,"Hemostasis Thrombosis",SOP6,Limited,02/26/2020
AP4E1,"AP-4 deficiency syndrome",AR,"Intellectual Disability and Autism",SOP8,Definitive,02/18/2021
APC,"APC-related attenuated familial adenomatous polyposis",AD,"Colon Cancer",SOP4,Definitive,09/11/2017
APOB,"hypercholesterolemia, autosomal dominant, type B",AD,"General Gene Curation",SOP7,Definitive,11/14/2018
APOB,"familial hypobetalipoproteinemia 1",SD,"General Gene Curation",SOP7,Definitive,02/26/2020
AQP1,"pulmonary arterial hypertension",AD,"Pulmonary Hypertension",SOP8,Limited,01/11/2021
AQP5,"palmoplantar keratoderma, Bothnian type",AD,"UNC Biocuration Core",SOP5,Moderate,07/03/2018
ARG1,hyperargininemia,AR,Aminoacidopathy,SOP7,Definitive,06/29/2020
ARHGEF1,"immunodeficiency 62",AR,"Antibody Immunodeficiencies",SOP8,Limited,01/19/2021
ARHGEF10,"autosomal dominant slowed nerve conduction velocity",AD,Charcot-Marie-Tooth,SOP7,Limited,10/05/2020
ARHGEF6,"non-syndromic X-linked intellectual disability",XL,"Intellectual Disability and Autism",SOP8,Disputed,10/20/2020
ARHGEF9,"complex neurodevelopmental disorder",XL,"Intellectual Disability and Autism",SOP6,Moderate,11/21/2019
ARID1B,"Coffin-Siris syndrome",AD,"Intellectual Disability and Autism",SOP6,Definitive,12/04/2019
ARL13B,"Joubert syndrome",AR,"Syndromic Disorders",SOP7,Definitive,06/03/2020
ARL2BP,"retinitis pigmentosa with or without situs inversus",AR,"UNC Biocuration Core",SOP5,Limited,07/03/2018
ARPC1B,"platelet abnormalities with eosinophilia and immune-mediated inflammatory disease",AR,"Hemostasis Thrombosis",SOP7,Definitive,07/22/2020
ARSL,"X-linked chondrodysplasia punctata 1",XL,"Syndromic Disorders",SOP7,Definitive,08/25/2020
ARX,"obsolete early infantile epileptic encephalopathy",XL,Epilepsy,SOP6,Definitive,06/21/2019
ARX,"complex neurodevelopmental disorder",XL,"Intellectual Disability and Autism",SOP8,Definitive,12/01/2020
ASL,"argininosuccinic aciduria",AR,Aminoacidopathy,SOP6,Definitive,09/15/2018
ASNS,"congenital microcephaly - severe encephalopathy - progressive cerebral atrophy syndrome",AR,Aminoacidopathy,SOP7,Definitive,06/29/2020
ASPA,"Canavan disease",AR,Aminoacidopathy,SOP7,Definitive,10/08/2020
ASS1,"citrullinemia type I",AR,Aminoacidopathy,SOP6,Definitive,12/27/2018
ATF6,achromatopsia,AR,"General Gene Curation",SOP4,Strong,11/16/2016
ATM,"familial ovarian cancer",AD,"Breast/Ovarian Cancer",SOP4,Limited,07/12/2017
ATM,"hereditary nonpolyposis colon cancer",AD,"Colon Cancer",SOP4,Moderate,08/28/2017
ATM,"hereditary breast carcinoma",AD,"Breast/Ovarian Cancer",SOP4,Definitive,07/12/2017
ATM,"ataxia telangiectasia",AR,"Hereditary Cancer",SOP7,Definitive,07/30/2020
ATP1A2,"familial or sporadic hemiplegic migraine",AD,Epilepsy,SOP8,Definitive,03/02/2021
ATP5MK,"Leigh syndrome",AR,"Mitochondrial Diseases",SOP7,Moderate,08/27/2020
ATP6AP2,"ATP6AP2-related disorder",XL,"Intellectual Disability and Autism",SOP7,Definitive,09/14/2020
ATP6V1B1,"renal tubular acidosis, distal, 2, with progressive sensorineural hearing loss",AR,"Hearing Loss",SOP6,Definitive,12/19/2017
ATP7A,"Menkes disease",XL,"Intellectual Disability and Autism",SOP5,Definitive,02/07/2018
ATP7B,"Wilson disease",AR,"General Gene Curation",SOP6,Definitive,03/27/2019
ATRX,"X-linked intellectual disability-hypotonic face syndrome",XL,"Intellectual Disability and Autism",SOP5,Definitive,02/07/2018
ATRX,"ATR-X-related syndrome",XL,"Intellectual Disability and Autism",SOP5,Definitive,04/27/2018
AUH,"3-methylglutaconic aciduria type 1",AR,Aminoacidopathy,SOP7,Definitive,06/29/2020
AUTS2,"syndromic intellectual disability",AD,"Intellectual Disability and Autism",SOP7,Definitive,09/01/2020
AXIN2,"oligodontia-cancer predisposition syndrome",AD,"Colon Cancer",SOP4,Moderate,06/08/2017
BAG3,"myofibrillar myopathy (disease)",AD,"General Gene Curation",SOP4,Definitive,12/18/2016
BAG3,"dilated cardiomyopathy",AD,"Dilated Cardiomyopathy",SOP7,Definitive,10/09/2020
BAP1,"BAP1-related tumor predisposition syndrome",AD,"Hereditary Cancer",SOP6,Definitive,03/21/2019
BARD1,"hereditary breast carcinoma",AD,"Breast/Ovarian Cancer",SOP4,Definitive,08/09/2017
BARD1,"hereditary nonpolyposis colon cancer",AD,"Colon Cancer",SOP4,Limited,06/08/2017
BARD1,"familial ovarian cancer",AD,"Breast/Ovarian Cancer",SOP4,Limited,08/09/2017
BCAT2,"hypervalinemia and hyperleucine-isoleucinemia",AR,Aminoacidopathy,SOP7,Definitive,07/24/2020
BCKDHA,"maple syrup urine disease type 1A",AR,Aminoacidopathy,SOP6,Definitive,09/14/2018
BCKDHB,"maple syrup urine disease type 1B",AR,Aminoacidopathy,SOP6,Definitive,02/08/2019
BCKDK,"branched-chain keto acid dehydrogenase kinase deficiency",AR,Aminoacidopathy,SOP6,Definitive,01/18/2019
BCL11A,"Dias-Logan syndrome",AD,"Intellectual Disability and Autism",SOP7,Definitive,09/13/2020
BCOR,"microphthalmia, syndromic 2",XL,"Syndromic Disorders",SOP8,Definitive,12/17/2020
BCS1L,"Leigh syndrome",AR,"Mitochondrial Diseases",SOP6,Limited,09/19/2019
BCS1L,"Bjornstad syndrome",AR,"Hearing Loss",SOP6,Definitive,07/09/2018
BDP1,"nonsyndromic genetic deafness",AR,"Hearing Loss",SOP6,Limited,09/11/2017
BGN,"familial thoracic aortic aneurysm and aortic dissection",AD,"Familial Thoracic Aortic Aneurysm and Dissection",SOP4,Limited,12/22/2016
BIN1,"centronuclear myopathy",SD,"Congenital Myopathies",SOP7,Definitive,04/27/2020
BLK,"monogenic diabetes",AD,"Monogenic Diabetes",SOP7,Refuted,08/21/2020
BLM,"Bloom syndrome",AR,"Hereditary Cancer",SOP6,Definitive,10/09/2018
BLNK,"agammaglobulinemia 4, autosomal recessive",AR,"Antibody Immunodeficiencies",SOP8,Definitive,03/16/2021
BLOC1S3,"Hermansky-Pudlak syndrome 8",AR,"Hemostasis Thrombosis",SOP6,Moderate,09/23/2020
BLOC1S6,"Hermansky-Pudlak syndrome 9",AR,"Hemostasis Thrombosis",SOP6,Moderate,09/23/2020
BMPR1A,"generalized juvenile polyposis/juvenile polyposis coli",AD,"Colon Cancer",SOP4,Definitive,06/12/2017
BMPR2,"pulmonary arterial hypertension",AD,"Pulmonary Hypertension",SOP7,Definitive,12/07/2020
BRAF,"Noonan syndrome",AD,RASopathy,SOP5,Moderate,07/24/2018
BRAF,"Noonan syndrome with multiple lentigines",AD,RASopathy,SOP5,Limited,07/24/2018
BRAF,"cardiofaciocutaneous syndrome",AD,RASopathy,SOP5,Definitive,07/24/2018
BRAF,"Costello syndrome",AD,RASopathy,SOP5,Disputed,07/24/2018
BRCA1,"breast-ovarian cancer, familial, susceptibility to, 1",AD,"Breast/Ovarian Cancer",SOP4,Definitive,09/13/2017
BRCA1,"Fanconi anemia, complementation group S",AR,"Hereditary Cancer",SOP7,Definitive,05/14/2020
BRCA2,"breast-ovarian cancer, familial, susceptibility to, 2",AD,"Breast/Ovarian Cancer",SOP4,Definitive,09/13/2017
BRCA2,"Fanconi anemia complementation group D1",AR,"Hereditary Cancer",SOP6,Definitive,12/21/2018
BRIP1,"hereditary breast carcinoma",AD,"Breast/Ovarian Cancer",SOP4,Refuted,05/10/2017
BRIP1,"familial ovarian cancer",AD,"Breast/Ovarian Cancer",SOP4,Definitive,10/12/2016
BRIP1,"Fanconi anemia complementation group j",AR,"Hereditary Cancer",SOP6,Definitive,08/18/2019
BRWD3,"X-linked syndromic intellectual disability",XL,"Intellectual Disability and Autism",SOP5,Definitive,09/20/2018
BSND,"Bartter disease type 4a",AR,"Hearing Loss",SOP5,Definitive,07/12/2018
BTD,"biotinidase deficiency",AR,"Hearing Loss",SOP6,Definitive,02/10/2020
BTK,"isolated growth hormone deficiency type III",XL,"Antibody Immunodeficiencies",SOP7,Disputed,11/17/2020
BTK,"Bruton-type agammaglobulinemia",XL,"Antibody Immunodeficiencies",SOP7,Definitive,10/20/2020
BUB1B,"mosaic variegated aneuploidy syndrome 1",AR,"Hereditary Cancer",SOP7,Definitive,11/22/2019
C1QB,"C1Q deficiency",AR,"General Gene Curation",SOP4,Definitive,01/09/2017
CA5A,"hyperammonemic encephalopathy due to carbonic anhydrase VA deficiency",AR,Aminoacidopathy,SOP6,Definitive,09/10/2018
CABP2,"nonsyndromic genetic deafness",AR,"Hearing Loss",SOP7,Definitive,02/06/2020
CACNA1C,"Brugada syndrome",AD,"Brugada Syndrome",SOP5,Disputed,11/21/2017
CACNA1C,"long QT syndrome",AD,"Long QT Syndrome",SOP7,Moderate,04/24/2020
CACNA1D,"sinoatrial node dysfunction and deafness",AR,"Hearing Loss",SOP6,Moderate,05/01/2018
CACNA1H,"epilepsy, idiopathic generalized",AD,Epilepsy,SOP5,Disputed,07/31/2018
CACNA2D1,"Brugada syndrome 1",AD,"Brugada Syndrome",SOP5,Disputed,11/21/2017
CACNB2,"Brugada syndrome 1",AD,"Brugada Syndrome",SOP5,Disputed,11/21/2017
CACNB2,"hypertrophic cardiomyopathy",AD,"Hypertrophic Cardiomyopathy",SOP7,"No Known Disease Relationship",04/07/2020
CACNB4,epilepsy,AD,Epilepsy,SOP5,Disputed,06/22/2018
CALM1,"long QT syndrome",AD,"Long QT Syndrome",SOP7,Definitive,09/25/2018
CALM2,"long QT syndrome",AD,"Long QT Syndrome",SOP7,Definitive,09/25/2018
CALM3,"long QT syndrome",AD,"Long QT Syndrome",SOP7,Definitive,09/25/2018
CALR3,"hypertrophic cardiomyopathy",AD,"Hypertrophic Cardiomyopathy",SOP5,Limited,08/06/2018
CASK,"X-linked syndromic intellectual disability",XL,"Intellectual Disability and Autism",SOP6,Definitive,07/09/2019
CASQ2,"hypertrophic cardiomyopathy",AD,"Hypertrophic Cardiomyopathy",SOP7,"No Known Disease Relationship",05/01/2020
CASR,epilepsy,AD,Epilepsy,SOP8,Disputed,03/03/2021
CBL,"CBL-related disorder",AD,RASopathy,SOP7,Definitive,04/29/2019
CBS,"classic homocystinuria",AR,Aminoacidopathy,SOP6,Definitive,04/12/2019
CC2D1A,"complex neurodevelopmental disorder",AR,"Intellectual Disability and Autism",SOP6,Definitive,01/08/2020
CCDC50,"nonsyndromic genetic deafness",AD,"Hearing Loss",SOP6,Limited,12/19/2017
CCDC78,"centronuclear myopathy",AD,"Congenital Myopathies",SOP7,Limited,12/09/2019
CD164,"nonsyndromic genetic deafness",AD,"Hearing Loss",SOP6,Limited,03/20/2018
CD3E,"severe combined immunodeficiency (disease)",AR,"General Gene Curation",SOP4,Definitive,01/09/2017
CD3E,"immunodeficiency 18",AR,SCID-CID,SOP8,Definitive,01/26/2021
CD40LG,"hyper-IgM syndrome type 1",XL,SCID-CID,SOP8,Definitive,03/22/2021
CD79A,"agammaglobulinemia 3, autosomal recessive",AR,"Antibody Immunodeficiencies",SOP8,Definitive,12/15/2020
CD79B,"agammaglobulinemia 6, autosomal recessive",AR,"Antibody Immunodeficiencies",SOP8,Definitive,01/26/2021
CDC14A,"hearing impairment and infertile male syndrome",AR,"Hearing Loss",SOP5,Strong,03/11/2020
CDC14A,"nonsyndromic genetic deafness",AR,"Hearing Loss",SOP6,Limited,02/26/2018
CDC73,"hyperparathyroidism 2 with jaw tumors",AD,"Hereditary Cancer",SOP6,Definitive,10/12/2018
CDH1,"hereditary nonpolyposis colon cancer",AD,"Colon Cancer",SOP4,Limited,06/08/2017
CDH1,"hereditary breast carcinoma",AD,"Breast/Ovarian Cancer",SOP4,Definitive,01/25/2017
CDH1,"familial ovarian cancer",AD,"Breast/Ovarian Cancer",SOP4,"No Known Disease Relationship",08/03/2017
CDH1,"hereditary diffuse gastric adenocarcinoma",AD,"Hereditary Cancer",SOP6,Definitive,10/11/2018
CDH15,"intellectual disability",AD,"Intellectual Disability and Autism",SOP8,Disputed,02/17/2021
CDH2,"arrhythmogenic right ventricular cardiomyopathy",AD,"Arrhythmogenic Right Ventricular Cardiomyopathy",SOP7,Limited,07/13/2018
CDH23,"Usher syndrome type 1",AR,"Hearing Loss",SOP4,Definitive,01/30/2017
CDH23,"nonsyndromic genetic deafness",AR,"Hearing Loss",SOP6,Definitive,05/22/2018
CDK4,"melanoma, cutaneous malignant, susceptibility to, 3",AD,"Hereditary Cancer",SOP7,Definitive,01/13/2020
CDKL5,"CDKL5 disorder",XL,"Rett and Angelman-like Disorders",SOP5,Definitive,07/02/2018
CDKN1B,"hereditary nonpolyposis colon cancer",AR,"Colon Cancer",SOP4,Limited,06/08/2017
CDKN1B,"multiple endocrine neoplasia type 4",AD,"Hereditary Cancer",SOP6,Definitive,12/21/2018
CDKN2A,"melanoma-pancreatic cancer syndrome",AD,"Hereditary Cancer",SOP6,Definitive,08/14/2019
CEACAM16,"nonsyndromic genetic deafness",AD,"Hearing Loss",SOP6,Moderate,03/20/2018
CEBPA,"acute myeloid leukemia",AD,"Hereditary Cancer",SOP6,Definitive,08/18/2019
CEMIP,"nonsyndromic genetic deafness",AR,"Hearing Loss",SOP6,Disputed,07/17/2018
CEP57,"mosaic variegated aneuploidy syndrome 2",AR,"Hereditary Cancer",SOP6,Definitive,11/22/2019
CEP78,"cone-rod dystrophy and hearing loss",AR,"Hearing Loss",SOP4,Strong,04/12/2017
CFL2,"nemaline myopathy 7",AR,"Congenital Myopathies",SOP6,Definitive,11/25/2019
CHD1L,"congenital anomaly of kidney and urinary tract",AD,"General Gene Curation",SOP4,Limited,11/18/2016
CHD2,"complex neurodevelopmental disorder",AD,Epilepsy,SOP5,Definitive,07/18/2018
CHD7,"CHARGE syndrome",AD,"Hearing Loss",SOP7,Definitive,08/23/2018
CHD8,"autism spectrum disorder",AD,"Intellectual Disability and Autism",SOP5,Definitive,07/16/2018
CHEK1,"familial ovarian cancer",AD,"Breast/Ovarian Cancer",SOP4,"No Known Disease Relationship",10/12/2016
CHEK1,"hereditary breast carcinoma",AD,"Breast/Ovarian Cancer",SOP4,"No Known Disease Relationship",10/12/2016
CHEK2,"hereditary breast carcinoma",AD,"Breast/Ovarian Cancer",SOP4,Definitive,12/14/2016
CHEK2,"familial ovarian cancer",AD,"Breast/Ovarian Cancer",SOP4,Disputed,12/14/2016
CHEK2,"hereditary nonpolyposis colon cancer",AD,"Breast/Ovarian Cancer",SOP4,Limited,03/13/2017
CHM,choroideremia,XL,Retina,SOP7,Definitive,10/26/2020
CHRNA2,"epilepsy, nocturnal frontal lobe",AD,Epilepsy,SOP7,Limited,12/25/2020
CHRNA2,"benign familial neonatal-infantile seizures",AD,Epilepsy,SOP7,"No Known Disease Relationship",01/07/2020
CHRNA2,"epilepsy, idiopathic generalized",AD,Epilepsy,SOP7,"No Known Disease Relationship",01/07/2020
CHRNA4,"epilepsy, nocturnal frontal lobe",AD,Epilepsy,SOP7,Definitive,02/18/2020
CIB2,"Usher syndrome type 1",AR,"Hearing Loss",SOP6,Refuted,02/19/2019
CIB2,"nonsyndromic genetic deafness",AR,"Hearing Loss",SOP6,Definitive,02/20/2018
CISD2,"Wolfram syndrome",AR,"Hearing Loss",SOP6,Strong,03/27/2018
CLCN4,"non-syndromic X-linked intellectual disability",XL,"Intellectual Disability and Autism",SOP5,Definitive,10/20/2017
CLDN14,"nonsyndromic genetic deafness",AR,"Hearing Loss",SOP6,Definitive,05/01/2018
CLIC5,"autosomal recessive nonsyndromic deafness",AR,"Hearing Loss",SOP5,Moderate,11/21/2017
CLN6,"neuronal ceroid lipofuscinosis",AR,Epilepsy,SOP7,Definitive,12/01/2020
CLN8,"neuronal ceroid lipofuscinosis",AR,Epilepsy,SOP7,Definitive,09/07/2020
CLPB,"Leigh syndrome",AR,"Mitochondrial Diseases",SOP7,Limited,11/23/2020
CLPP,"Perrault syndrome 3",AR,"Hearing Loss",SOP6,Definitive,03/27/2018
CLRN1,"Usher syndrome type 3",AR,"Hearing Loss",SOP4,Definitive,03/02/2017
CNKSR2,"X-linked complex neurodevelopmental disorder",XL,"Intellectual Disability and Autism",SOP8,Definitive,12/16/2020
COCH,"nonsyndromic genetic deafness",AD,"Hearing Loss",SOP6,Definitive,01/05/2018
COL11A2,"nonsyndromic genetic deafness",AD,"Hearing Loss",SOP7,Moderate,12/20/2018
COL11A2,"otospondylomegaepiphyseal dysplasia",AD,"Hearing Loss",SOP7,Definitive,12/20/2018
COL11A2,"otospondylomegaepiphyseal dysplasia",AR,"Hearing Loss",SOP8,Definitive,12/20/2018
COL11A2,"nonsyndromic genetic deafness",AR,"Hearing Loss",SOP7,Moderate,12/20/2018
COL1A1,"osteogenesis imperfecta type 2",AD,"Skeletal Disorders",SOP8,Definitive,03/22/2021
COL1A1,"osteogenesis imperfecta type 1",AD,"Skeletal Disorders",SOP8,Definitive,03/16/2021
COL2A1,"spondyloepiphyseal dysplasia, Stanescu type",AD,"General Gene Curation",SOP4,Moderate,12/01/2016
COL2A1,"achondrogenesis type II",AD,"Skeletal Disorders",SOP7,Definitive,10/05/2020
COL2A1,"platyspondylic dysplasia, Torrance type",AD,"Skeletal Disorders",SOP8,Definitive,02/01/2021
COL3A1,"Ehlers-Danlos syndrome, vascular type",AD,"General Gene Curation",SOP6,Definitive,02/27/2019
COL4A5,"Alport syndrome",XL,"Hearing Loss",SOP6,Definitive,03/19/2019
COL4A6,"deafness, X-linked 6",XL,"Hearing Loss",SOP6,Limited,01/16/2018
COL5A1,"Ehlers-Danlos syndrome, classic type",AD,"General Gene Curation",SOP8,Definitive,03/24/2021
COL5A2,"Ehlers-Danlos syndrome, classic type",AD,"General Gene Curation",SOP8,Definitive,03/24/2021
COL6A1,"collagen 6-related myopathy",SD,"Congenital Myopathies",SOP8,Definitive,01/22/2021
COL6A2,"collagen 6-related myopathy",SD,"Congenital Myopathies",SOP7,Definitive,02/22/2021
COL9A1,"Stickler syndrome",AR,"Familial Thoracic Aortic Aneurysm and Dissection",SOP5,Limited,03/26/2018
COL9A2,"Stickler syndrome",AR,"Hearing Loss",SOP6,Limited,02/19/2019
COL9A3,"Stickler syndrome",AR,"Hearing Loss",SOP7,Moderate,09/17/2019
COMP,"multiple epiphyseal dysplasia (disease)",AD,"Skeletal Disorders",SOP7,Definitive,03/24/2020
COMP,pseudoachondroplasia,AD,"Skeletal Disorders",SOP7,Definitive,02/07/2020
COX10,"Leigh syndrome",AR,"Mitochondrial Diseases",SOP6,Moderate,05/20/2019
COX15,"Leigh syndrome",AR,"Mitochondrial Diseases",SOP6,Limited,05/20/2019
CPS1,"carbamoyl phosphate synthetase I deficiency disease",AR,Aminoacidopathy,SOP6,Definitive,10/12/2018
CPT1A,"carnitine palmitoyl transferase 1A deficiency",AR,"Fatty Acid Oxidation Disorders",SOP6,Definitive,01/23/2018
CPT1B,"inherited fatty acid metabolism disorder",Undetermined,"Fatty Acid Oxidation Disorders",SOP7,"No Known Disease Relationship",01/25/2021
CPT2,"carnitine palmitoyltransferase II deficiency",AR,"Fatty Acid Oxidation Disorders",SOP6,Definitive,03/27/2018
CREBBP,"Rubinstein-Taybi syndrome due to CREBBP mutations",AD,"Intellectual Disability and Autism",SOP5,Definitive,02/21/2018
CRYM,"autosomal dominant nonsyndromic deafness 40",AD,"Hearing Loss",SOP5,Limited,02/16/2017
CSRP3,"hypertrophic cardiomyopathy",AD,"Hypertrophic Cardiomyopathy",SOP5,Moderate,12/19/2017
CSRP3,"dilated cardiomyopathy",AD,"Dilated Cardiomyopathy",SOP7,Limited,11/06/2020
CSTB,"Unverricht-Lundborg syndrome",AR,Epilepsy,SOP8,Definitive,06/16/2020
CSTB,"developmental and epileptic encephalopathy",AR,Epilepsy,SOP8,Moderate,12/01/2020
CTF1,"dilated cardiomyopathy",AD,"Dilated Cardiomyopathy",SOP7,Limited,08/12/2020
CTH,"cystathioninuria (disease)",AR,Aminoacidopathy,SOP6,Definitive,06/14/2019
